2022-06-27 13:33:24.284  INFO 3184 --- [main] .c.m.l.QuickfixLmaxMarketDataApplication : Starting QuickfixLmaxMarketDataApplication using Java 17.0.3 on DESKTOP-G1O7DN4 with PID 3184 (D:\home\Courses\Java\quickfix\quickfix-lmax\quickfix-lmax-client\quickfix-client-lmax\quickfix-client-markerdata-lmax\target\classes started by iorch in D:\home\Courses\Java\quickfix\quickfix-lmax\quickfix-lmax-client)
2022-06-27 13:33:24.287  INFO 3184 --- [main] .c.m.l.QuickfixLmaxMarketDataApplication : No active profile set, falling back to 1 default profile: "default"
2022-06-27 13:33:56.936  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromAdmin: Message=8=FIX.4.4|9=58|35=0|34=2|49=LMXBDM|52=20220627-11:33:56.888|56=jcorderop|10=118|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:33:56.936  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: Message=8=FIX.4.4|9=58|35=0|34=2|49=jcorderop|52=20220627-11:33:56.936|56=LMXBDM|10=112|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:33:56.936  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: msgType 0
2022-06-27 13:34:26.945  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromAdmin: Message=8=FIX.4.4|9=58|35=0|34=3|49=LMXBDM|52=20220627-11:34:26.888|56=jcorderop|10=117|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:34:26.945  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: Message=8=FIX.4.4|9=58|35=0|34=3|49=jcorderop|52=20220627-11:34:26.945|56=LMXBDM|10=111|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:34:26.945  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: msgType 0
2022-06-27 13:34:56.942  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromAdmin: Message=8=FIX.4.4|9=58|35=0|34=4|49=LMXBDM|52=20220627-11:34:56.889|56=jcorderop|10=122|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:34:56.942  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: Message=8=FIX.4.4|9=58|35=0|34=4|49=jcorderop|52=20220627-11:34:56.942|56=LMXBDM|10=112|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:34:56.942  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: msgType 0
2022-06-27 13:35:26.937  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromAdmin: Message=8=FIX.4.4|9=58|35=0|34=5|49=LMXBDM|52=20220627-11:35:26.890|56=jcorderop|10=113|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:35:26.937  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: Message=8=FIX.4.4|9=58|35=0|34=5|49=jcorderop|52=20220627-11:35:26.937|56=LMXBDM|10=115|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:35:26.937  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: msgType 0
2022-06-27 13:35:56.953  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromAdmin: Message=8=FIX.4.4|9=58|35=0|34=6|49=LMXBDM|52=20220627-11:35:56.891|56=jcorderop|10=118|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:35:56.953  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: Message=8=FIX.4.4|9=58|35=0|34=6|49=jcorderop|52=20220627-11:35:56.953|56=LMXBDM|10=117|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:35:56.953  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: msgType 0
2022-06-27 13:36:07.769 ERROR 3184 --- [http-nio-8090-exec-1] o.a.c.c.C.[.[.[/].[dispatcherServlet]    : Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.NullPointerException: Null field values are not allowed.] with root cause
java.lang.NullPointerException: Null field values are not allowed.
	at quickfix.FieldMap.setField(FieldMap.java:340) ~[quickfixj-core-2.3.1.jar:2.3.1]
	at quickfix.fix44.MarketDataRequest.<init>(MarketDataRequest.java:21) ~[quickfixj-messages-all-2.3.1.jar:2.3.1]
	at org.quickfix.client.marketdata.lmax.client.api.MarketDataService.createMarketDataRequest(MarketDataService.java:50) ~[classes/:na]
	at org.quickfix.client.marketdata.lmax.client.api.MarketDataService.createMarketDataSubscription(MarketDataService.java:38) ~[classes/:na]
	at org.quickfix.client.marketdata.lmax.client.api.MarketDataService.subscribe(MarketDataService.java:30) ~[classes/:na]
2022-06-27 13:36:26.950  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromAdmin: Message=8=FIX.4.4|9=58|35=0|34=7|49=LMXBDM|52=20220627-11:36:26.892|56=jcorderop|10=118|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:26.950  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: Message=8=FIX.4.4|9=58|35=0|34=7|49=jcorderop|52=20220627-11:36:26.950|56=LMXBDM|10=113|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:26.950  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: msgType 0
2022-06-27 13:36:36.019  INFO 3184 --- [http-nio-8090-exec-3] o.q.c.m.l.c.ClientApplicationAdapter     : toApp: Message=8=FIX.4.4|9=132|35=V|34=8|49=jcorderop|52=20220627-11:36:36.019|56=LMXBDM|262=100934|263=1|264=0|265=0|266=Y|146=1|48=100934|22=8|267=2|269=0|269=1|10=008|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:36.142  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=8|49=LMXBDM|52=20220627-11:36:36.083|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21346.69|271=5|272=20220627|273=11:36:35.946|269=1|270=21353.82|271=5|10=106|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:36.142  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:36.142  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=8|49=LMXBDM|52=20220627-11:36:36.083|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21346.69|271=5|272=20220627|273=11:36:35.946|269=1|270=21353.82|271=5|10=106|
2022-06-27 13:36:37.142  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=9|49=LMXBDM|52=20220627-11:36:37.083|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21347.19|271=5|272=20220627|273=11:36:37.004|269=1|270=21353.32|271=5|10=086|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:37.145  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:37.145  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=9|49=LMXBDM|52=20220627-11:36:37.083|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21347.19|271=5|272=20220627|273=11:36:37.004|269=1|270=21353.32|271=5|10=086|
2022-06-27 13:36:39.239  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=171|35=W|34=10|49=LMXBDM|52=20220627-11:36:39.185|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21345.69|271=5|272=20220627|273=11:36:39.122|269=1|270=21353.32|271=5|10=138|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:39.239  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:39.239  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=171|35=W|34=10|49=LMXBDM|52=20220627-11:36:39.185|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21345.69|271=5|272=20220627|273=11:36:39.122|269=1|270=21353.32|271=5|10=138|
2022-06-27 13:36:41.340  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=11|49=LMXBDM|52=20220627-11:36:41.287|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21349.2|271=5|272=20220627|273=11:36:41.240|269=1|270=21353.31|271=5|10=070|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:41.340  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:41.340  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=11|49=LMXBDM|52=20220627-11:36:41.287|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21349.2|271=5|272=20220627|273=11:36:41.240|269=1|270=21353.31|271=5|10=070|
2022-06-27 13:36:42.450  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=12|49=LMXBDM|52=20220627-11:36:42.388|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.2|271=5|272=20220627|273=11:36:42.299|269=1|270=21353.31|271=5|10=088|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:42.450  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:42.450  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=12|49=LMXBDM|52=20220627-11:36:42.388|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.2|271=5|272=20220627|273=11:36:42.299|269=1|270=21353.31|271=5|10=088|
2022-06-27 13:36:44.550  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=13|49=LMXBDM|52=20220627-11:36:44.489|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.21|271=5|272=20220627|273=11:36:44.416|269=1|270=21353.8|271=5|10=091|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:44.550  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:44.550  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=13|49=LMXBDM|52=20220627-11:36:44.489|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.21|271=5|272=20220627|273=11:36:44.416|269=1|270=21353.8|271=5|10=091|
2022-06-27 13:36:46.650  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=14|49=LMXBDM|52=20220627-11:36:46.590|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21349.21|271=5|272=20220627|273=11:36:46.533|269=1|270=21353.8|271=5|10=090|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:46.650  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:46.650  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=14|49=LMXBDM|52=20220627-11:36:46.590|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21349.21|271=5|272=20220627|273=11:36:46.533|269=1|270=21353.8|271=5|10=090|
2022-06-27 13:36:47.749  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=15|49=LMXBDM|52=20220627-11:36:47.691|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21349.21|271=5|272=20220627|273=11:36:47.592|269=1|270=21353.3|271=5|10=095|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:47.752  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:47.752  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=15|49=LMXBDM|52=20220627-11:36:47.691|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21349.21|271=5|272=20220627|273=11:36:47.592|269=1|270=21353.3|271=5|10=095|
2022-06-27 13:36:49.852  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=16|49=LMXBDM|52=20220627-11:36:49.792|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.71|271=5|272=20220627|273=11:36:49.710|269=1|270=21353.8|271=5|10=103|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:49.852  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:49.852  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=16|49=LMXBDM|52=20220627-11:36:49.792|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.71|271=5|272=20220627|273=11:36:49.710|269=1|270=21353.8|271=5|10=103|
2022-06-27 13:36:50.850  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=170|35=W|34=17|49=LMXBDM|52=20220627-11:36:50.792|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21347.21|271=5|272=20220627|273=11:36:50.768|269=1|270=21353.8|271=5|10=095|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:50.850  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:50.850  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=170|35=W|34=17|49=LMXBDM|52=20220627-11:36:50.792|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21347.21|271=5|272=20220627|273=11:36:50.768|269=1|270=21353.8|271=5|10=095|
2022-06-27 13:36:51.949  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=171|35=W|34=18|49=LMXBDM|52=20220627-11:36:51.893|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21342.26|271=5|272=20220627|273=11:36:51.826|269=1|270=21344.26|271=5|10=144|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:51.949  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:51.949  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=171|35=W|34=18|49=LMXBDM|52=20220627-11:36:51.893|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21342.26|271=5|272=20220627|273=11:36:51.826|269=1|270=21344.26|271=5|10=144|
2022-06-27 13:36:52.950  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=171|35=W|34=19|49=LMXBDM|52=20220627-11:36:52.893|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21344.72|271=5|272=20220627|273=11:36:52.882|269=1|270=21353.29|271=5|10=155|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:52.950  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:52.950  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=171|35=W|34=19|49=LMXBDM|52=20220627-11:36:52.893|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21344.72|271=5|272=20220627|273=11:36:52.882|269=1|270=21353.29|271=5|10=155|
2022-06-27 13:36:54.053  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: Message=8=FIX.4.4|9=171|35=W|34=20|49=LMXBDM|52=20220627-11:36:53.994|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.22|271=5|272=20220627|273=11:36:53.940|269=1|270=21353.29|271=5|10=145|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:36:54.053  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromApp: msgType W
2022-06-27 13:36:54.053  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ApplicationMessageCracker    : MarketDataSnapshotFullRefresh sessionID=FIX.4.4:jcorderop->LMXBDM: 8=FIX.4.4|9=171|35=W|34=20|49=LMXBDM|52=20220627-11:36:53.994|56=jcorderop|22=8|48=100934|262=100934|268=2|269=0|270=21348.22|271=5|272=20220627|273=11:36:53.940|269=1|270=21353.29|271=5|10=145|
